risk_id,event_type,asset,business_function,confidence,likelihood,impact,risk_score,evidence_strength
RISK-REGULATORY_ENFORCEMENT-UNKNOWN-7B3945EE,REGULATORY_ENFORCEMENT,UNKNOWN,Compliance & Governance,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-F9AF8D8A,OUTAGE_APPLICATION,applications,Transportation & Logistics,Low,,,,Weak
RISK-SECURITY_BREACH-UNKNOWN-00BE8D73,SECURITY_BREACH,UNKNOWN,Identity & Access Management,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-F9AF8D8A,OUTAGE_APPLICATION,applications,Transportation & Logistics,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-7FC4D717,OUTAGE_APPLICATION,applications,Distribution Operations,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-B2FE743F,OUTAGE_APPLICATION,applications,Physical Infrastructure,Low,,,,Weak
RISK-REGULATORY_ENFORCEMENT-UNKNOWN-7B3945EE,REGULATORY_ENFORCEMENT,UNKNOWN,Compliance & Governance,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-4C1C3243,OUTAGE_APPLICATION,applications,IT Operations,Low,,,,Weak
RISK-SECURITY_BREACH-UNKNOWN-BBF98AB6,SECURITY_BREACH,UNKNOWN,Vendor Risk,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-F9AF8D8A,OUTAGE_APPLICATION,applications,Transportation & Logistics,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-B2FE743F,OUTAGE_APPLICATION,applications,Physical Infrastructure,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-B2FE743F,OUTAGE_APPLICATION,applications,Physical Infrastructure,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-B2FE743F,OUTAGE_APPLICATION,applications,Physical Infrastructure,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-4C1C3243,OUTAGE_APPLICATION,applications,IT Operations,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-4C1C3243,OUTAGE_APPLICATION,applications,IT Operations,Low,,,,Weak
RISK-OUTAGE_APPLICATION-CLOUD-8E87EE85,OUTAGE_APPLICATION,cloud,Distribution Operations,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-7FC4D717,OUTAGE_APPLICATION,applications,Distribution Operations,Low,,,,Weak
RISK-SECURITY_BREACH-UNKNOWN-00BE8D73,SECURITY_BREACH,UNKNOWN,Identity & Access Management,Low,,,,Weak
RISK-OUTAGE_APPLICATION-APPLICATIONS-B2FE743F,OUTAGE_APPLICATION,applications,Physical Infrastructure,Low,,,,Weak
RISK-UNKNOWN-SYSTEMS-C2037A8F,UNKNOWN,systems,Network Infrastructure,Medium,,,,Weak
RISK-UNKNOWN-SYSTEMS-C2DF56FE,UNKNOWN,systems,Cybersecurity,Medium,,,,Weak
